Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2013,A,0,EG_EGY_CLEAN,,PT,,22.3
2017,A,0,EG_EGY_CLEAN,,PT,,26.7
2018,A,0,EG_EGY_CLEAN,,PT,,28.0
