Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2010,A,0,SL_TLF_MANF,,M,PT,,8.9
2010,A,0,SL_TLF_MANF,,F,PT,,12.7
2010,A,0,SL_TLF_MANF,,,PT,,10.8
2013,A,0,SL_TLF_MANF,,M,PT,,7.7
2013,A,0,SL_TLF_MANF,,F,PT,,10.3
2013,A,0,SL_TLF_MANF,,,PT,,9.1
2015,A,0,SL_TLF_MANF,,M,PT,,8.6
2015,A,0,SL_TLF_MANF,,F,PT,,17.8
2015,A,0,SL_TLF_MANF,,,PT,,13.5
