Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,A,0,GF_FRN_FDI,,PT,,20.0
2016,A,0,GF_FRN_FDI,,PT,,26.0
2017,A,0,GF_FRN_FDI,,PT,,32.0
2018,A,0,GF_FRN_FDI,,PT,,24.0
2015,A,0,_L_GH_170301,,PT,,18.9
2016,A,0,_L_GH_170301,,PT,,12.2
2017,A,0,_L_GH_170301,,PT,,10.2
