Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,A,0,EN_H2O_WBAMBQ,,PT,,61.0
2017,A,0,EN_H2O_WBAMBQ,,PT,,52.0
2018,A,0,EN_H2O_WBAMBQ,,PT,,55.9
