Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
1993,A,0,SP_DYN_ADKL,,PT,,116
1998,A,0,SP_DYN_ADKL,,PT,,88
2003,A,0,SP_DYN_ADKL,,PT,,74
2008,A,0,SP_DYN_ADKL,,PT,,66
2014,A,0,SP_DYN_ADKL,,PT,,76
2017,A,0,SP_DYN_ADKL,,PT,,75
