Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,A,0,NY_GDP_PCAP,,PT,,1.1
2017,A,0,NY_GDP_PCAP,,PT,,5.7
2018,A,0,NY_GDP_PCAP,,PT,,3.9
2019,A,0,NY_GDP_PCAP,,PT,,4.1
2020,A,0,NY_GDP_PCAP,,PT,,-1.3
