Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2017,A,0,_L_GH_070b01_01,,,PT,,0.79
2018,A,0,_L_GH_070b01_01,,,PT,,1.45
2019,A,0,_L_GH_070b01_01,,,PT,,1.42
2020,A,0,_L_GH_070b01_01,,,PT,,1.91
2021,A,0,_L_GH_070b01_01,,,PT,,3.64
2021,A,0,_L_GH_070b01_02,,TRT_HYDROPOWER,PT,,65.3
2021,A,0,_L_GH_070b01_02,,TRT_GEOTHERMAL,PT,,0.6
2021,A,0,_L_GH_070b01_02,,TRT_MULTIPLE,PT,,34.1
