Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,A,0,FB_ATM_TOTL,,PER_100000_POP,,12.1
2017,A,0,FB_ATM_TOTL,,PER_100000_POP,,12.5
2018,A,0,FB_ATM_TOTL,,PER_100000_POP,,12.8
2019,A,0,FB_ATM_TOTL,,PER_100000_POP,,11.3
2016,A,0,FB_CBK_BRCH,,PER_100000_POP,,8.5
2017,A,0,FB_CBK_BRCH,,PER_100000_POP,,9.2
2018,A,0,FB_CBK_BRCH,,PER_100000_POP,,9.3
2019,A,0,FB_CBK_BRCH,,PER_100000_POP,,6.3
