Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2013,A,0,SI_HEI_TOTL,,PT,,12.5
2017,A,0,SI_HEI_TOTL,,PT,,22.0
