Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
1999,A,0,EG_ACS_ELEC,,PT,,41.0
2006,A,0,EG_ACS_ELEC,,PT,,49.2
2013,A,0,EG_ACS_ELEC,,PT,,70.6
2017,A,0,EG_ACS_ELEC,,PT,,81.1
2018,A,0,EG_ACS_ELEC,,PT,,84.3
2019,A,0,EG_ACS_ELEC,,PT,,85.0
2020,A,0,EG_ACS_ELEC,,PT,,85.3
