Indicator
#1-1-1
#1-2-1
#1-2-2
#16-1-4
#16-3-1
#17-6-1
#17-8-1
#2-1-2
#2-2-1
#3-1-2
#4-1-1
#4-2-1
#5-3-2
#5-4-1
#5-b-1
#6-1-1
#6-2-1
#8-5-2
#8-7-1
#9-2-2
