Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,1
#1-2-2,2
#16-1-4,1
#16-3-1,1
#17-6-1,1
#17-8-1,1
#2-1-2,2
#2-2-1,2
#3-1-2,11
#4-1-1,6
#4-2-1,4
#5-3-2,1
#5-4-1,1
#5-b-1,2
#6-1-1,5
#6-2-1,6
#8-7-1,2
