Value,en,Disaggregation combinations using this value,Number of indicators
CPC2_1_112,Maize,1,1
CPC2_1_113,Rice,1,1
CPC2_1_114,Sorghum,1,1
_L_GH_Cassava,Cassava,1,1
_L_GH_Fish_Artisanal,Fish(Artisanal),1,1
_L_GH_Fish_Marine,Fish(Marine),1,1
_L_GH_Yam,Yam,1,1
