Indicator
#1-1-1
#1-2-1
#12-3-1
#14-2-1
#16-5-1
#2-1-2
#2-2-1
#3-1-2
#4-1-1
#4-3-1
#4-5-1
#4-c-1
#5-2-1
#5-3-2
