Value,en,Disaggregation combinations using this value,Number of indicators
ISCED11_0,Early childhood education,2,1
ISCED11_02,Pre-primary education,13,2
ISCED11_1,Primary education,13,2
ISCED11_2,Lower secondary education,19,3
ISCED11_25_35_45,Vocational secondary education,10,1
ISCED11_3,Upper secondary education,13,2
ISCED11_35,Upper secondary vocational education,8,1
_L_GH_Primary_4,Primary 4,6,1
_L_GH_Primary_6,Primary 6,6,1
