Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2013,12.5,,Normal value,Units,Percent,Growth rates of household expenditure or income per capita [10.1.1]
2017,22.0,,Normal value,Units,Percent,Growth rates of household expenditure or income per capita [10.1.1]
