Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,5.5,,Normal value,Units,Percent,Unemployment rate [8.5.2]
2017,8.4,,Normal value,Units,Percent,Unemployment rate [8.5.2]
