Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2011,43.9,,Normal value,Units,Percent,Proportion of children who are developmentally on track in literacy-numeracy
2011,93.3,,Normal value,Units,Percent,Proportion of children who are developmentally on track in physical development
2011,66.6,,Normal value,Units,Percent,Proportion of children who are developmentally on track in social-emotional development
2011,84.7,,Normal value,Units,Percent,Proportion of children who are developmentally on track in learning
2017,26.3,,Normal value,Units,Percent,Proportion of children who are developmentally on track in literacy-numeracy
2017,97.3,,Normal value,Units,Percent,Proportion of children who are developmentally on track in physical development
2017,72.9,,Normal value,Units,Percent,Proportion of children who are developmentally on track in social-emotional development
2017,89.0,,Normal value,Units,Percent,Proportion of children who are developmentally on track in learning
