Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
1999,41.0,,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2006,49.2,,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2013,70.6,,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2018,81.1,,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2019,70.6,,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
