Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2013,A,0,_L_GH_170801,,,,PT,,56.6
2017,A,0,_L_GH_170801,,,,PT,,98.9
2013,A,0,_L_GH_170801,,,R,PT,,42.1
2017,A,0,_L_GH_170801,,,R,PT,,97.9
2013,A,0,_L_GH_170801,,,U,PT,,59.3
2017,A,0,_L_GH_170801,,,U,PT,,98.4
2013,A,0,_L_GH_170801,,M,,PT,,58.7
2017,A,0,_L_GH_170801,,M,,PT,,98.4
2013,A,0,_L_GH_170801,,F,,PT,,54.7
2017,A,0,_L_GH_170801,,F,,PT,,98.0
