Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,A,0,BX_TRF_PWKR,,PT,,3.4
2017,A,0,BX_TRF_PWKR,,PT,,5.5
2018,A,0,BX_TRF_PWKR,,PT,,3.9
2019,A,0,BX_TRF_PWKR,,PT,,3.8
