Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
1998,A,0,SH_FPL_MTMM,,F,PT,,22.0
2003,A,0,SH_FPL_MTMM,,F,PT,,25.2
2008,A,0,SH_FPL_MTMM,,F,PT,,23.5
2014,A,0,SH_FPL_MTMM,,F,PT,,26.7
2017,A,0,SH_FPL_MTMM,,F,PT,,42.0
